398;600;608;1110
414;596;598;1035
398;610;599;971
398;610;604;942
389;592;598;980
393;598;608;952
427;613;602;998
426;632;616;1026
431;617;612;1007
417;606;607;1017
435;625;625;1617
451;624;613;1636
468;675;654;1625
418;608;619;1645
472;646;632;1653
522;699;691;1598
468;657;642;1636
485;673;653;1682
480;642;633;1654
453;631;620;1625
389;634;624;1073
381;629;629;1044
417;641;637;1064
418;650;637;1091
421;666;645;1064
401;649;640;1027
410;642;644;1120
373;636;642;1017
384;637;631;1064
393;623;624;1091
405;603;587;1681
394;604;604;1672
427;620;602;1691
397;596;603;1653
394;590;591;1681
385;594;595;1663
398;595;596;1691
388;591;600;1634
444;629;631;1672
397;596;585;1617
716;855;848;1110
713;823;830;1093
704;830;831;1083
848;940;939;1111
729;829;837;1091
712;826;825;1055
703;817;833;1046
716;833;846;1045
705;835;847;1064
749;844;839;1130
745;784;776;1776
728;783;774;1691
716;766;771;1654
722;775;780;1645
713;775;792;1588
717;780;780;1645
728;774;763;1626
800;855;844;1663
724;791;793;1607
759;809;805;1644
